market,fold,train_end_date,forecast_start,forecast_end,RMSE,MAPE_%
California,1,2026-03-19,2026-03-20,2026-04-30,1.1355329415700646,2.895293365327639
California,2,2026-02-05,2026-02-06,2026-03-19,0.9981340959022212,2.513536543011112
California,3,2025-12-25,2025-12-26,2026-02-05,0.8524326290969327,2.1390837306628177
California,4,2025-11-13,2025-11-14,2025-12-25,0.9634869839471942,2.3614379601014877
China_ETS,1,2026-03-19,2026-03-20,2026-04-30,3.0233896946996075,2.194386718200642
China_ETS,2,2026-02-05,2026-02-06,2026-03-19,4.398261155050239,3.0837912388237205
China_ETS,3,2025-12-25,2025-12-26,2026-02-05,2.8721546888542435,2.0146085213877516
China_ETS,4,2025-11-13,2025-11-14,2025-12-25,2.9001027926245095,2.2935431525819667
EU_ETS,1,2026-03-19,2026-03-20,2026-04-30,2.113602691517739,2.0033558670442497
EU_ETS,2,2026-02-05,2026-02-06,2026-03-19,2.935559889594128,2.8255871755547055
EU_ETS,3,2025-12-25,2025-12-26,2026-02-05,2.721904425622815,2.8557717743067155
EU_ETS,4,2025-11-13,2025-11-14,2025-12-25,3.3002271084345045,3.638910224410516
RGGI,1,2026-03-19,2026-03-20,2026-04-30,0.521659866439743,2.167461495090659
RGGI,2,2026-02-05,2026-02-06,2026-03-19,0.4643819775384238,1.823769407497956
RGGI,3,2025-12-25,2025-12-26,2026-02-05,0.4871359435077376,1.9592927972850658
RGGI,4,2025-11-13,2025-11-14,2025-12-25,0.5357304172050799,2.0400499981076092
UK_ETS,1,2026-03-19,2026-03-20,2026-04-30,2.169876720397135,3.7369929162069804
UK_ETS,2,2026-02-05,2026-02-06,2026-03-19,1.6481075576570419,2.830195356888613
UK_ETS,3,2025-12-25,2025-12-26,2026-02-05,1.6086851128113249,2.862435964924636
UK_ETS,4,2025-11-13,2025-11-14,2025-12-25,1.0850963610747242,2.0322409924739366
