date,year,market,currency,price,days_since_last_event,events_7d,events_30d,max_severity_7d,max_severity_30d,policy_events_30d,weather_events_30d,disaster_events_30d,event_shock_score,key,day_of_week,month,dow_sin,dow_cos,month_sin,month_cos,price_lag_1,price_lag_2,price_lag_3,price_lag_5,price_lag_10,price_lag_20,price_lag_30,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20,rolling_mean_30,rolling_std_30,momentum_5,momentum_10,momentum_20
2013-12-31,2013,California,USD,9.98,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2013-12-31 00:00:00'))",1,12,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,10.45,9.93,10.05,9.95,10.64,9.81,10.07,10.044,0.23891421054428516,10.159,0.254447113037922,10.156,0.28870673519571455,10.085666666666667,0.302571545638193,0.5,-0.19000000000000128,0.6399999999999988
2014-01-01,2014,California,USD,10.16,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-01 00:00:00'))",2,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,9.98,10.45,9.93,9.84,10.19,10.18,10.19,10.05,0.2363260459619273,10.093,0.19431074768696185,10.1645,0.2803658324404028,10.082666666666666,0.30317780527142063,0.14000000000000057,-0.20999999999999908,-0.1999999999999993
2014-01-02,2014,California,USD,10.39,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-02 00:00:00'))",3,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,10.16,9.98,10.45,10.05,10.01,10.38,10.07,10.114,0.20671236053995198,10.09,0.19287301521985775,10.1635,0.2803433045768218,10.081666666666667,0.30286088001535993,0.10999999999999943,0.15000000000000036,-0.22000000000000064
2014-01-03,2014,California,USD,10.48,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-03 00:00:00'))",4,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,10.39,10.16,9.98,9.93,10.19,10.13,9.57,10.181999999999999,0.23445681905203647,10.128,0.21185949222171785,10.164,0.28075837148319327,10.092333333333334,0.3080269058258447,0.46000000000000085,0.20000000000000107,0.2599999999999998
2014-01-06,2014,California,USD,10.21,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-06 00:00:00'))",0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,10.48,10.39,10.16,10.45,10.34,9.8,10.3,10.292000000000002,0.2148720549536395,10.157,0.2393532953606443,10.1815,0.2893054295704582,10.122666666666667,0.2995045717610122,0.030000000000001137,0.14000000000000057,0.6799999999999997
2014-01-07,2014,California,USD,10.26,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-07 00:00:00'))",1,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,10.21,10.48,10.39,9.98,9.95,9.87,10.05,10.244,0.19679939024295706,10.144,0.23171821968359144,10.202,0.27502344397676726,10.119666666666667,0.29811457336161024,0.23000000000000043,0.26000000000000156,0.34000000000000163
2014-01-08,2014,California,USD,9.91,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-08 00:00:00'))",2,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,10.26,10.21,10.48,10.16,9.84,10.42,10.2,10.3,0.13209844813622934,10.175,0.22347010737207965,10.2215,0.2638435541237106,10.126666666666667,0.2988868236194656,0.09999999999999964,0.41999999999999993,-0.16000000000000014
2014-01-09,2014,California,USD,10.43,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-09 00:00:00'))",3,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,9.91,10.26,10.21,10.39,10.05,9.75,9.93,10.25,0.2178302091079193,10.182,0.2126447219607808,10.196000000000002,0.2682575353334139,10.116999999999999,0.3011145961257942,-0.4800000000000004,-0.14000000000000057,0.16000000000000014
2014-01-10,2014,California,USD,10.49,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-10 00:00:00'))",4,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,10.43,9.91,10.26,10.48,9.93,10.62,9.58,10.258,0.2248777445635734,10.22,0.22025238048909074,10.23,0.251312344975017,10.133666666666667,0.30422862697528097,-0.05000000000000071,0.5,-0.1899999999999995
2014-01-13,2014,California,USD,9.71,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-13 00:00:00'))",0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,10.49,10.43,9.91,10.21,10.45,10.57,9.49,10.260000000000002,0.22737634001804077,10.276,0.2092420182999162,10.2235,0.2422107607675159,10.164,0.29225166292556687,0.27999999999999936,0.040000000000000924,-0.08000000000000007
2014-01-14,2014,California,USD,10.64,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-14 00:00:00'))",1,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,9.71,10.49,10.43,10.26,9.98,10.64,9.81,10.16,0.3379349049743152,10.202000000000002,0.2644407095908055,10.1805,0.2535324125442864,10.171333333333333,0.27712481108616166,-0.5499999999999989,-0.2699999999999996,-0.9299999999999997
2014-01-15,2014,California,USD,10.01,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-15 00:00:00'))",2,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,10.64,9.71,10.49,9.91,10.16,10.19,10.18,10.236,0.4025916044827556,10.268,0.2844800324959364,10.1805,0.2535324125442864,10.199000000000002,0.28120859848530555,0.7300000000000004,0.4800000000000004,0.45000000000000107
2014-01-16,2014,California,USD,10.34,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-16 00:00:00'))",3,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,10.01,10.64,9.71,10.43,10.39,10.01,10.38,10.256,0.3844216435113917,10.253000000000002,0.29458256718429393,10.1715,0.2563565567925389,10.193333333333333,0.2833096677067211,-0.41999999999999993,-0.3800000000000008,0.0
2014-01-17,2014,California,USD,10.21,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-17 00:00:00'))",4,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,10.34,10.01,10.64,10.49,10.48,10.19,10.13,10.238000000000001,0.376257890282715,10.248000000000001,0.2924152298815279,10.188,0.25603453714396857,10.192,0.28249382050000743,-0.15000000000000036,-0.14000000000000057,0.15000000000000036
2014-01-20,2014,California,USD,10.19,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-20 00:00:00'))",0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,10.21,10.34,10.01,9.71,10.21,10.34,9.8,10.182,0.3492420364160069,10.221,0.28084990059935355,10.189,0.2560818125850448,10.194666666666668,0.28226587287255706,0.5,0.0,-0.129999999999999
2014-01-21,2014,California,USD,10.15,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-21 00:00:00'))",1,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,10.19,10.21,10.34,10.64,10.26,9.95,9.87,10.278,0.23402991261802436,10.219,0.281008105853827,10.1815,0.25361128565291846,10.207666666666666,0.2722661392364345,-0.45000000000000107,-0.07000000000000028,0.2400000000000002
2014-01-22,2014,California,USD,9.96,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-22 00:00:00'))",2,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,10.15,10.19,10.21,10.01,9.91,9.84,10.42,10.18,0.11874342087037616,10.208000000000002,0.28137756366372463,10.1915,0.24788101984621558,10.217,0.26499381905609043,0.14000000000000057,0.2400000000000002,0.3100000000000005
2014-01-23,2014,California,USD,10.35,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-23 00:00:00'))",3,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,9.96,10.15,10.19,10.34,10.43,10.05,9.75,10.17,0.1372953021774566,10.213,0.27588443635374266,10.197500000000002,0.2402602755346791,10.201666666666666,0.2661485627826406,-0.379999999999999,-0.46999999999999886,-0.08999999999999986
2014-01-24,2014,California,USD,10.14,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-24 00:00:00'))",4,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,10.35,9.96,10.15,10.21,10.49,9.93,10.62,10.172,0.14042791745233235,10.205000000000002,0.26998971173814107,10.2125,0.2399314595111652,10.221666666666666,0.2532694263010274,0.1399999999999988,-0.14000000000000057,0.41999999999999993
2014-01-27,2014,California,USD,9.89,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-27 00:00:00'))",0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,10.14,10.35,9.96,10.19,9.71,10.45,10.57,10.158,0.13917614738165082,10.169999999999998,0.2509537363295832,10.223,0.23135982456133714,10.205666666666666,0.242155312562619,-0.049999999999998934,0.4299999999999997,-0.3099999999999987
2014-01-28,2014,California,USD,9.97,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('California', Timestamp('2014-01-28 00:00:00'))",1,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,9.89,10.14,10.35,10.15,10.64,9.98,10.64,10.098,0.1804716044146517,10.187999999999999,0.21867276414262926,10.195,0.23627593146461925,10.183,0.23867666774139984,-0.2599999999999998,-0.75,-0.08999999999999986
