date,market,currency,price,baseline_prediction,event_aware_prediction,baseline_abs_error,event_aware_abs_error,days_since_last_event,events_7d,events_30d,max_severity_7d,max_severity_30d,policy_events_30d,weather_events_30d,disaster_events_30d,event_shock_score,event_active_30d
2026-03-20,California,USD,29.71,32.41784956650036,32.40906455782237,2.7078495665003572,2.6990645578223678,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-23,California,USD,32.92,31.714248709735585,31.706984795771497,1.2057512902644163,1.2130152042285047,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-24,California,USD,32.74,31.82004659845946,31.811225315298195,0.9199534015405426,0.928774684701807,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-25,California,USD,32.9,32.0711885682174,32.06148556100568,0.8288114317825972,0.8385144389943164,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-26,California,USD,32.86,32.09486257961104,32.084173564612996,0.7651374203889603,0.7758264353870032,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-27,California,USD,32.44,32.29095242939755,32.279648413295135,0.14904757060244833,0.16035158670486283,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-30,California,USD,32.05,32.41514576653615,32.40538408831322,0.36514576653615194,0.35538408831322243,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-31,California,USD,32.07,32.20794919697046,32.19878721907367,0.13794919697046026,0.12878721907367208,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-01,California,USD,31.87,32.025657462813186,32.01817822650669,0.15565746281318482,0.14817822650669044,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-02,California,USD,31.91,31.916651492259703,31.910653573296578,0.006651492259702962,0.0006535732965780028,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-03,California,USD,30.8,31.92250644123023,31.916872307255485,1.1225064412302288,1.116872307255484,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-06,California,USD,31.24,31.901599892504773,31.89680961022112,0.6615998925047748,0.6568096102211207,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-07,California,USD,32.06,31.799042734011046,31.79406699001145,0.2609572659889565,0.26593300998855085,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-08,California,USD,30.43,31.92328418967279,31.91812569694504,1.4932841896727886,1.4881256969450405,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-09,California,USD,30.6,31.482277945773816,31.478016562910575,0.882277945773815,0.8780165629105738,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-04-10,California,USD,31.9,31.30692267580155,31.239005012230642,0.5930773241984468,0.6609949877693566,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,7.0,1
2026-04-13,California,USD,32.04,31.49083331768457,31.430157148539994,0.5491666823154304,0.6098428514600052,3.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,5.649824229037725,1
2026-04-14,California,USD,31.88,31.679664294219734,31.620674492643953,0.20033570578026527,0.25932550735604565,4.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,5.260341051527002,1
2026-04-15,California,USD,30.27,31.494433931697742,31.43704261615049,1.2244339316977424,1.1670426161504892,5.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,4.897707761625912,1
2026-04-16,California,USD,33.39,31.27026635069416,31.2167295140329,2.1197336493058394,2.1732704859671017,6.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,4.560073402717389,1
2026-04-17,California,USD,30.97,31.82857667834339,31.774534481079122,0.8585766783433897,0.8045344810791235,7.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,4.245714617988434,1
2026-04-20,California,USD,31.43,31.480959016890885,31.574017871756546,0.05095901689088578,0.1440178717565459,10.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3.426791616898672,1
2026-04-21,California,USD,31.08,31.534150744959547,31.6289579645316,0.45415074495954855,0.5489579645316027,11.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3.19055812829612,1
2026-04-22,California,USD,33.12,31.322116380957297,31.41881997657976,1.7978836190427003,1.701180023420239,12.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.97060991973865,1
2026-04-23,California,USD,32.4,31.772710903210545,31.869410571727155,0.627289096789454,0.5305894282728438,13.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.765824329288211,1
2026-04-24,California,USD,31.67,31.82493209404978,31.92240537442733,0.15493209404978003,0.2524053744273296,14.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.5751560882000963,1
2026-04-27,California,USD,31.59,31.7606336418533,31.861732828561845,0.17063364185329988,0.271732828561845,17.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0784541800952736,1
2026-04-28,California,USD,32.16,31.71227054623557,31.81427441971297,0.44772945376442763,0.34572558028702716,18.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.9351713264069503,1
2026-04-29,California,USD,31.03,31.66467180238389,31.767762771270903,0.6346718023838882,0.7377627712709014,19.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.8017659943679762,1
2026-04-30,California,USD,32.31,31.6317698909425,31.736600015479443,0.6782301090575018,0.5733999845205595,20.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.6775572550924305,1
2026-03-20,China_ETS,CNY,116.17,113.17650344346194,113.15409969148308,2.9934965565380622,3.015900308516919,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-23,China_ETS,CNY,112.07,113.5876598849638,113.56082043308206,1.5176598849638054,1.4908204330820638,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-24,China_ETS,CNY,111.63,113.82007314693361,113.79688900925316,2.1900731469336137,2.1668890092531683,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-25,China_ETS,CNY,119.52,112.56013564823456,112.5380434405623,6.959864351765432,6.981956559437691,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-26,China_ETS,CNY,109.83,114.13455038503712,114.10381536268805,4.304550385037118,4.273815362688055,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-27,China_ETS,CNY,114.25,113.22792487955938,113.2022197514183,1.0220751204406184,1.0477802485817023,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-30,China_ETS,CNY,112.04,113.88814477527576,113.86227618685628,1.848144775275756,1.8222761868562714,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
