country,year,scenario,co2_per_capita_t,annual_rate
Algeria,2026,BAU,4.35,0.0127729383401302
Algeria,2026,Moderate,4.35,-0.0022270616598697
Algeria,2026,Accelerated,4.35,-0.0222270616598697
Algeria,2027,BAU,4.405562281779567,0.0127729383401302
Algeria,2028,BAU,4.4618342571583405,0.0127729383401302
Algeria,2029,BAU,4.518824991008905,0.0127729383401302
Algeria,2030,BAU,4.576543663988901,0.0127729383401302
Algeria,2027,Moderate,4.340312281779566,-0.0022270616598697
Algeria,2028,Moderate,4.330646138704953,-0.0022270616598697
Algeria,2029,Moderate,4.321001522726981,-0.0022270616598697
Algeria,2030,Moderate,4.311378385903477,-0.0022270616598697
Algeria,2027,Accelerated,4.253312281779566,-0.0222270616598697
Algeria,2028,Accelerated,4.158773647433771,-0.0222270616598697
Algeria,2029,Accelerated,4.0663363291428185,-0.0222270616598697
Algeria,2030,Accelerated,3.9759536208251927,-0.0222270616598697
Argentina,2026,BAU,3.78,-0.0088925953931718
Argentina,2026,Moderate,3.78,-0.0238925953931718
Argentina,2026,Accelerated,3.78,-0.0438925953931718
Argentina,2027,BAU,3.74638598941381,-0.0088925953931718
Argentina,2028,BAU,3.713070894623305,-0.0088925953931718
Argentina,2029,BAU,3.6800520574912574,-0.0088925953931718
Argentina,2030,BAU,3.647326843518178,-0.0088925953931718
Argentina,2027,Moderate,3.68968598941381,-0.0238925953931718
Argentina,2028,Moderate,3.6015298149408905,-0.0238925953931718
Argentina,2029,Moderate,3.5154799202760625,-0.0238925953931718
Argentina,2030,Moderate,3.431485980928086,-0.0238925953931718
Argentina,2027,Accelerated,3.6140859894138098,-0.0438925953931718
Argentina,2028,Accelerated,3.455454375364338,-0.0438925953931718
Argentina,2029,Accelerated,3.303785514566905,-0.0438925953931718
Argentina,2030,Accelerated,3.158773793710198,-0.0438925953931718
Australia,2026,BAU,13.78,-0.007114334568633529
Australia,2026,Moderate,13.78,-0.02211433456863353
Australia,2026,Accelerated,13.78,-0.04211433456863353
Australia,2027,BAU,13.68196446964423,-0.007114334568633529
Australia,2028,BAU,13.584626396851025,-0.007114334568633529
Australia,2029,BAU,13.487980819673936,-0.007114334568633529
Australia,2030,BAU,13.392022811467465,-0.007114334568633529
Australia,2027,Moderate,13.475264469644229,-0.02211433456863353
Australia,2028,Moderate,13.177267962761697,-0.02211433456863353
Australia,2029,Moderate,12.885861450332648,-0.02211433456863353
Australia,2030,Moderate,12.600899199014934,-0.02211433456863353
Australia,2027,Accelerated,13.19966446964423,-0.04211433456863353
Australia,2028,Accelerated,12.643769383975927,-0.04211433456863353
