country,iso3,region,renewable_2000,renewable_2026,renewable_change_pp,fossil_2000,fossil_2026,fossil_change_pp,co2_2000,co2_2026,co2_change,renewable_slope,fossil_slope,co2_slope,recent_renewable_slope,recent_co2_slope,cluster,transition_score,trajectory,cluster_distance
Algeria,DZA,MENA,4.64,10.28,5.64,93.21,88.26,-4.949999999999989,2.67,4.35,1.6799999999999997,0.1526862026862029,-0.14862637362637351,0.07169719169719235,-0.15899999999990624,0.03300000000000091,0,8.90999999999999,BAU,0.6014499981453131
Argentina,ARG,LatAm,33.76,44.34,10.580000000000005,65.13,55.17,-9.959999999999994,3.55,3.78,0.22999999999999998,0.37431623931624214,-0.3417216117216134,-0.004499389499389691,1.0560000000001515,-0.015000000000006687,2,20.31,Moderate,0.8282965477390376
Australia,AUS,Oceania,12.25,33.84,21.590000000000003,87.22,65.69,-21.53,16.52,13.78,-2.74,0.8919413919414021,-0.8694444444444539,-0.11180097680097785,1.6030000000001638,-0.18500000000003752,1,45.86000000000001,Accelerated,1.787160009007051
Bangladesh,BGD,Asia,17.38,20.15,2.7699999999999996,80.78,77.8,-2.980000000000004,0.18,0.76,0.5800000000000001,0.2606532356532377,-0.26246642246642493,0.022057387057387242,-0.2770000000001991,0.031000000000003008,0,5.1700000000000035,BAU,0.9585744529154477
Belgium,BEL,Europe,9.57,27.77,18.2,81.43,63.16,-18.27000000000001,12.55,6.69,-5.86,0.7485347985348052,-0.7328449328449386,-0.2469780219780241,0.7020000000000676,-0.16700000000003923,1,42.33000000000001,Accelerated,0.5934729528940984
Brazil,BRA,LatAm,42.42,51.49,9.07,56.81,47.59,-9.219999999999999,1.82,2.11,0.2899999999999998,0.277319902319905,-0.2815506715506739,0.009743589743589813,1.2040000000001774,0.02199999999999966,2,18.0,Moderate,1.0913901347604846
Canada,CAN,North America,5.55,18.39,12.84,86.93,74.54,-12.39,16.97,13.87,-3.0999999999999996,0.40237484737484924,-0.39195360195360346,-0.1279670329670335,0.3060000000000129,-0.03600000000000717,2,28.33,Moderate,1.3900128885836556
Chile,CHL,LatAm,32.59,41.13,8.54,67.41,56.3,-11.11,3.51,4.41,0.9000000000000004,0.3832295482295508,-0.38522588522588685,0.02559829059829052,-0.3420000000000066,-0.01500000000000209,2,18.75,Moderate,1.720582711299012
China,CHN,Asia,6.37,17.98,11.61,92.75,79.04,-13.709999999999994,2.95,8.46,5.510000000000001,0.47117216117216554,-0.5234065934065983,0.20001831501831635,0.47800000000006326,0.06500000000000758,2,19.80999999999999,Moderate,2.4368292368489355
Colombia,COL,LatAm,33.83,42.02,8.190000000000005,65.26,55.65,-9.610000000000007,1.39,1.74,0.3500000000000001,0.31533577533577817,-0.37380952380952837,0.009877899877899955,0.06399999999993428,0.019000000000001564,2,17.45000000000001,Moderate,1.1501074865532752
Czech Republic,CZE,Europe,11.36,29.66,18.3,77.61,60.16,-17.450000000000003,13.98,7.99,-5.99,0.6998717948718013,-0.6956959706959773,-0.24446275946276141,1.3760000000001704,-0.10900000000003118,1,41.74,Accelerated,0.9002872620665147
Denmark,DNK,Europe,9.47,25.73,16.259999999999998,79.53,62.19,-17.340000000000003,10.88,4.07,-6.8100000000000005,0.6675335775335824,-0.6740903540903598,-0.29639194139194397,0.5559999999999804,-0.16200000000002154,1,40.410000000000004,Accelerated,1.0291114794356147
Egypt,EGY,MENA,3.05,6.63,3.58,94.09,93.37,-0.7199999999999989,1.5,2.71,1.21,0.2209829059829089,-0.2246520146520183,0.04598290598290635,-0.0559999999999818,0.048000000000005476,0,3.089999999999999,BAU,0.8440501073539695
Finland,FIN,Europe,10.94,28.55,17.61,77.98,62.58,-15.400000000000006,14.02,5.79,-8.23,0.6492612942612997,-0.6265811965812015,-0.3592857142857172,0.9120000000001024,-0.20700000000002183,1,41.24000000000001,Accelerated,1.3903120977461536
France,FRA,Europe,7.05,18.75,11.7,51.91,40.81,-11.099999999999994,7.56,4.15,-3.4099999999999993,0.4436568986569025,-0.3883028083028118,-0.15098901098901218,0.843000000000098,-0.02600000000000944,2,26.209999999999994,Moderate,1.33170364210351
