country,trajectory,co2_2018,co2_2026,recent_cagr
Algeria,BAU,3.93,4.35,0.0127729383401302
Argentina,Moderate,4.06,3.78,-0.0088925953931718
Australia,Accelerated,14.59,13.78,-0.007114334568633529
Bangladesh,BAU,0.57,0.76,0.03661464962807748
Belgium,Accelerated,8.07,6.69,-0.0231698113654788
Brazil,Moderate,2.07,2.11,0.002395281640744429
Canada,Moderate,14.3,13.87,-0.003809139619317392
Chile,Moderate,4.43,4.41,-0.0005654518965718669
China,Moderate,7.77,8.46,0.010691627452823926
Colombia,Moderate,1.66,1.74,0.0059007802760200345
Czech Republic,Accelerated,9.58,7.99,-0.0224304649245471
Denmark,Accelerated,5.4,4.07,-0.034727171979412
Egypt,BAU,2.37,2.71,0.01689852666867142
Finland,Accelerated,8.23,5.79,-0.04300462024974405
France,Moderate,4.74,4.15,-0.01647881422784836
Germany,Accelerated,8.23,6.57,-0.027766252799958147
India,Moderate,1.72,2.13,0.027085018748930434
Indonesia,BAU,2.13,2.75,0.03245025601077067
Iran,BAU,7.64,8.8,0.01782628972230449
Iraq,BAU,4.36,5.18,0.021775320710780255
Israel,Moderate,6.91,5.28,-0.03307122560929676
Italy,Accelerated,5.81,4.87,-0.021819268730597807
Japan,Moderate,9.08,7.33,-0.026407396684207773
Kazakhstan,BAU,14.18,13.91,-0.002400179348280851
Kenya,Moderate,0.36,0.48,0.03661464962807748
Kuwait,Moderate,22.15,21.68,-0.0026773245466451545
Malaysia,BAU,7.69,8.33,0.010042929174084447
Mexico,BAU,3.55,3.58,0.001052453056098912
Morocco,BAU,1.86,2.12,0.016489424423155485
Netherlands,Accelerated,8.74,7.06,-0.026330292575161174
Nigeria,BAU,0.55,0.65,0.021101310075755553
Norway,Accelerated,8.82,7.45,-0.020879911678819085
Pakistan,BAU,0.97,1.2,0.026954468541634302
Philippines,BAU,1.22,1.55,0.03037777724766144
Poland,Accelerated,8.09,7.66,-0.006803841756328977
Qatar,BAU,36.88,37.9,0.0034160355708794388
Russia,BAU,11.75,12.44,0.00715848114294082
Saudi Arabia,BAU,16.87,17.78,0.006588777812202684
South Africa,Accelerated,7.44,6.4,-0.018645586917883428
South Korea,BAU,12.62,11.07,-0.016247082732801843
Spain,Accelerated,5.23,4.5,-0.01861627131639343
Sweden,Accelerated,3.82,2.6,-0.046954251919994805
Thailand,Moderate,4.33,4.39,0.0017216910451491874
Turkey,BAU,5.08,5.6,0.0122564187873932
UAE,BAU,23.42,24.06,0.00337572902998029
Ukraine,Accelerated,5.61,3.76,-0.04878624237248641
United Kingdom,Accelerated,5.55,4.06,-0.038323217085364125
United States,Moderate,15.41,13.97,-0.01218817461218491
Venezuela,Moderate,5.37,4.38,-0.0251507136317431
Vietnam,BAU,3.01,4.58,0.05387080311974812
