country,year,scenario,co2_per_capita_t,annual_rate
Turkey,2026,BAU,5.6,0.012256418787393253
Turkey,2026,Moderate,5.6,-0.0027435812126067466
Turkey,2026,Accelerated,5.6,-0.02274358121260675
Turkey,2027,BAU,5.6686359452094015,0.012256418787393253
Turkey,2028,BAU,5.738113121307158,0.012256418787393253
Turkey,2029,BAU,5.808441838771335,0.012256418787393253
Turkey,2030,BAU,5.8796325344495335,0.012256418787393253
Turkey,2027,Moderate,5.584635945209402,-0.0027435812126067466
Turkey,2028,Moderate,5.569314042950877,-0.0027435812126067466
Turkey,2029,Moderate,5.55403417757553,-0.0027435812126067466
Turkey,2030,Moderate,5.538796233751758,-0.0027435812126067466
Turkey,2027,Accelerated,5.472635945209402,-0.02274358121260675
Turkey,2028,Accelerated,5.348168605142501,-0.02274358121260675
Turkey,2029,Accelerated,5.226532098132728,-0.02274358121260675
Turkey,2030,Accelerated,5.107662040898551,-0.02274358121260675
Belgium,2026,BAU,6.69,-0.0231698113654788
Belgium,2026,Moderate,6.69,-0.0381698113654788
Belgium,2026,Accelerated,6.69,-0.0581698113654788
Belgium,2027,BAU,6.534993961964947,-0.0231698113654788
Belgium,2028,BAU,6.383579384591676,-0.0231698113654788
Belgium,2029,BAU,6.235673054414128,-0.0231698113654788
Belgium,2030,BAU,6.091193686006553,-0.0231698113654788
Belgium,2027,Moderate,6.434643961964947,-0.0381698113654788
Belgium,2028,Moderate,6.189034815732728,-0.0381698113654788
Belgium,2029,Moderate,5.9528005242818285,-0.0381698113654788
Belgium,2030,Moderate,5.725583251173668,-0.0381698113654788
Belgium,2027,Accelerated,6.300843961964947,-0.0581698113654788
Belgium,2028,Accelerated,5.93432505725413,-0.0581698113654788
Belgium,2029,Accelerated,5.589126488092223,-0.0581698113654788
Belgium,2030,Accelerated,5.2640080545820975,-0.0581698113654788
Algeria,2026,BAU,4.35,0.012772938340130269
Algeria,2026,Moderate,4.35,-0.0022270616598697307
Algeria,2026,Accelerated,4.35,-0.022227061659869735
Algeria,2027,BAU,4.4055622817795665,0.012772938340130269
