year,avg_renewables,avg_fossil,avg_co2_pc
2000,13.0352,81.5872,7.3991999999999996
2001,13.3816,81.4272,7.48
2002,13.7744,81.0348,7.6213999999999995
2003,14.0878,80.5808,7.5892
2004,13.9318,80.719,7.7034
2005,14.511,80.195,7.7898000000000005
2006,14.9788,79.8202,7.906000000000001
2007,15.2252,79.58539999999999,7.9232000000000005
2008,15.763599999999999,79.04520000000001,8.0078
2009,15.654000000000002,79.1732,8.0582
2010,16.2196,78.5508,8.1598
2011,16.42,78.5564,8.0912
2012,17.0926,77.8708,8.0396
2013,17.049400000000002,77.7792,8.0358
2014,18.0,77.0908,7.942200000000001
2015,18.116600000000002,76.7322,7.9172
2016,18.6354,76.12819999999999,7.8065999999999995
2017,18.938599999999997,76.217,7.706799999999999
2018,19.7664,75.1122,7.564400000000001
2019,19.8446,74.8368,7.4234
2020,20.3066,74.6388,7.249199999999999
2021,21.003200000000003,73.6964,7.3296
2022,21.3174,73.5594,7.3766
2023,21.7046,73.21300000000001,7.3872
2024,22.3264,72.7462,7.4796000000000005
2025,22.7568,72.1268,7.3152
2026,22.9842,71.8926,7.214600000000001
